"","Var1","Freq","site"
"63","Pomacentridae",49,"nusa_ulan"
"40","Labridae",47,"nusa_ulan"
"33","Gobiidae",44,"nusa_ulan"
"1","Acanthuridae",30,"nusa_ulan"
"43","Lutjanidae",30,"nusa_ulan"
"74","Serranidae",27,"nusa_ulan"
"5","Apogonidae",24,"nusa_ulan"
"51","Muraenidae",23,"nusa_ulan"
"11","Carangidae",15,"nusa_ulan"
"52","Myctophidae",15,"nusa_ulan"
"8","Balistidae",13,"nusa_ulan"
"42","Lethrinidae",13,"nusa_ulan"
"62","Pomacanthidae",12,"nusa_ulan"
"13","Chaetodontidae",11,"nusa_ulan"
"81","Tetraodontidae",10,"nusa_ulan"
"19","Dasyatidae",9,"nusa_ulan"
"24","Eleotridae",9,"nusa_ulan"
"36","Holocentridae",9,"nusa_ulan"
"34","Haemulidae",8,"nusa_ulan"
"79","Synodontidae",8,"nusa_ulan"
"50","Mullidae",7,"nusa_ulan"
"75","Siganidae",7,"nusa_ulan"
"26","Engraulidae",6,"nusa_ulan"
"49","Mugilidae",6,"nusa_ulan"
"53","Myliobatidae",6,"nusa_ulan"
"12","Carcharhinidae",5,"nusa_ulan"
"18","Congridae",5,"nusa_ulan"
"72","Scombridae",5,"nusa_ulan"
"45","Monacanthidae",4,"nusa_ulan"
"76","Sphyraenidae",4,"nusa_ulan"
"3","Ambassidae",3,"nusa_ulan"
"6","Atherinidae",3,"nusa_ulan"
"17","Clupeidae",3,"nusa_ulan"
"44","Malacanthidae",3,"nusa_ulan"
"73","Scorpaenidae",3,"nusa_ulan"
"2","Alopiidae",2,"nusa_ulan"
"9","Blenniidae",2,"nusa_ulan"
"10","Bramidae",2,"nusa_ulan"
"20","Diodontidae",2,"nusa_ulan"
"27","Ephippidae",2,"nusa_ulan"
"28","Exocoetidae",2,"nusa_ulan"
"32","Gerreidae",2,"nusa_ulan"
"38","Kuhliidae",2,"nusa_ulan"
"39","Kyphosidae",2,"nusa_ulan"
"48","Moringuidae",2,"nusa_ulan"
"54","Nemipteridae",2,"nusa_ulan"
"58","Osphronemidae",2,"nusa_ulan"
"59","Ostraciidae",2,"nusa_ulan"
"61","Plesiopidae",2,"nusa_ulan"
"64","Potamotrygonidae",2,"nusa_ulan"
"65","Priacanthidae",2,"nusa_ulan"
"83","Trichiuridae",2,"nusa_ulan"
"4","Anguillidae",1,"nusa_ulan"
"7","Aulostomidae",1,"nusa_ulan"
"14","Chanidae",1,"nusa_ulan"
"15","Cichlidae",1,"nusa_ulan"
"16","Cirrhitidae",1,"nusa_ulan"
"21","Drepaneidae",1,"nusa_ulan"
"22","Dussumieriidae",1,"nusa_ulan"
"23","Echeneidae",1,"nusa_ulan"
"25","Emmelichthyidae",1,"nusa_ulan"
"29","Fistulariidae",1,"nusa_ulan"
"30","Fundulidae",1,"nusa_ulan"
"31","Gempylidae",1,"nusa_ulan"
"35","Hemiscylliidae",1,"nusa_ulan"
"37","Istiophoridae",1,"nusa_ulan"
"41","Leiognathidae",1,"nusa_ulan"
"46","Monocentridae",1,"nusa_ulan"
"47","Monodactylidae",1,"nusa_ulan"
"55","Nomeidae",1,"nusa_ulan"
"56","Ophichthidae",1,"nusa_ulan"
"57","Orectolobidae",1,"nusa_ulan"
"60","Pempheridae",1,"nusa_ulan"
"66","Pristigasteridae",1,"nusa_ulan"
"67","Pseudochromidae",1,"nusa_ulan"
"68","Rhinobatidae",1,"nusa_ulan"
"69","Rhyacichthyidae",1,"nusa_ulan"
"70","Salmonidae",1,"nusa_ulan"
"71","Scatophagidae",1,"nusa_ulan"
"77","Stegostomatidae",1,"nusa_ulan"
"78","Stomiidae",1,"nusa_ulan"
"80","Terapontidae",1,"nusa_ulan"
"82","Toxotidae",1,"nusa_ulan"
"84","Zanclidae",1,"nusa_ulan"
"331","Labridae",41,"pulau_venu"
"541","Pomacentridae",31,"pulau_venu"
"351","Lutjanidae",23,"pulau_venu"
"110","Acanthuridae",21,"pulau_venu"
"611","Serranidae",21,"pulau_venu"
"410","Apogonidae",17,"pulau_venu"
"341","Lethrinidae",13,"pulau_venu"
"401","Muraenidae",13,"pulau_venu"
"271","Gobiidae",11,"pulau_venu"
"101","Carangidae",10,"pulau_venu"
"610","Balistidae",8,"pulau_venu"
"301","Holocentridae",8,"pulau_venu"
"411","Myctophidae",8,"pulau_venu"
"121","Chaetodontidae",7,"pulau_venu"
"191","Dasyatidae",7,"pulau_venu"
"531","Pomacanthidae",7,"pulau_venu"
"671","Tetraodontidae",7,"pulau_venu"
"391","Mullidae",6,"pulau_venu"
"281","Haemulidae",5,"pulau_venu"
"591","Scombridae",5,"pulau_venu"
"381","Mugilidae",4,"pulau_venu"
"621","Siganidae",4,"pulau_venu"
"641","Sphyraenidae",4,"pulau_venu"
"710","Blenniidae",3,"pulau_venu"
"111","Carcharhinidae",3,"pulau_venu"
"221","Engraulidae",3,"pulau_venu"
"231","Ephippidae",3,"pulau_venu"
"661","Synodontidae",3,"pulau_venu"
"141","Cichlidae",2,"pulau_venu"
"161","Clupeidae",2,"pulau_venu"
"241","Exocoetidae",2,"pulau_venu"
"291","Hemiscylliidae",2,"pulau_venu"
"371","Monacanthidae",2,"pulau_venu"
"421","Myliobatidae",2,"pulau_venu"
"551","Potamotrygonidae",2,"pulau_venu"
"210","Albulidae",1,"pulau_venu"
"310","Anabantidae",1,"pulau_venu"
"510","Atherinidae",1,"pulau_venu"
"85","Bramidae",1,"pulau_venu"
"91","Callionymidae",1,"pulau_venu"
"131","Chanidae",1,"pulau_venu"
"151","Cirrhitidae",1,"pulau_venu"
"171","Congridae",1,"pulau_venu"
"181","Cyprinodontidae",1,"pulau_venu"
"201","Eleotridae",1,"pulau_venu"
"211","Emmelichthyidae",1,"pulau_venu"
"251","Fistulariidae",1,"pulau_venu"
"261","Gempylidae",1,"pulau_venu"
"311","Kneriidae",1,"pulau_venu"
"321","Kyphosidae",1,"pulau_venu"
"361","Melanotaeniidae",1,"pulau_venu"
"431","Nemipteridae",1,"pulau_venu"
"441","Nomeidae",1,"pulau_venu"
"451","Opistognathidae",1,"pulau_venu"
"461","Osphronemidae",1,"pulau_venu"
"471","Ostraciidae",1,"pulau_venu"
"481","Paralepididae",1,"pulau_venu"
"491","Pempheridae",1,"pulau_venu"
"501","Pinguipedidae",1,"pulau_venu"
"511","Plesiopidae",1,"pulau_venu"
"521","Poeciliidae",1,"pulau_venu"
"561","Pseudochromidae",1,"pulau_venu"
"571","Rhinidae",1,"pulau_venu"
"581","Rhinobatidae",1,"pulau_venu"
"601","Scorpaenidae",1,"pulau_venu"
"631","Sparidae",1,"pulau_venu"
"651","Stegostomatidae",1,"pulau_venu"
"681","Trichiuridae",1,"pulau_venu"
"691","Zanclidae",1,"pulau_venu"
"322","Lutjanidae",23,"triton_bay"
"292","Labridae",22,"triton_bay"
"472","Pomacentridae",21,"triton_bay"
"542","Serranidae",19,"triton_bay"
"252","Gobiidae",15,"triton_bay"
"412","Apogonidae",13,"triton_bay"
"92","Carangidae",13,"triton_bay"
"112","Acanthuridae",11,"triton_bay"
"113","Chaetodontidae",9,"triton_bay"
"711","Balistidae",8,"triton_bay"
"172","Dasyatidae",8,"triton_bay"
"212","Engraulidae",7,"triton_bay"
"462","Pomacanthidae",7,"triton_bay"
"102","Carcharhinidae",6,"triton_bay"
"362","Mugilidae",6,"triton_bay"
"522","Scombridae",6,"triton_bay"
"132","Clupeidae",5,"triton_bay"
"262","Haemulidae",5,"triton_bay"
"272","Holocentridae",5,"triton_bay"
"312","Lethrinidae",5,"triton_bay"
"572","Synodontidae",5,"triton_bay"
"372","Mullidae",4,"triton_bay"
"382","Muraenidae",4,"triton_bay"
"492","Pristigasteridae",4,"triton_bay"
"552","Siganidae",4,"triton_bay"
"562","Sphyraenidae",4,"triton_bay"
"202","Eleotridae",3,"triton_bay"
"232","Exocoetidae",3,"triton_bay"
"302","Leiognathidae",3,"triton_bay"
"413","Nemipteridae",3,"triton_bay"
"532","Scorpaenidae",3,"triton_bay"
"592","Tetraodontidae",3,"triton_bay"
"342","Melanotaeniidae",2,"triton_bay"
"392","Myctophidae",2,"triton_bay"
"402","Myliobatidae",2,"triton_bay"
